127.0.0.1 - - [21/Jun/2023:09:50:13 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [21/Jun/2023:09:50:13 +0900] "GET /01_01_html/day03/Ex01_table_span.html HTTP/1.1" 200 1188
0:0:0:0:0:0:0:1 - - [21/Jun/2023:09:51:35 +0900] "GET /01_01_html/day03/Ex01_table_span.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2023:09:52:54 +0900] "GET /01_01_html/day03/Ex01_table_span.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2023:09:52:54 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [21/Jun/2023:09:53:18 +0900] "GET /01_01_html/day02/Ex09_table.html HTTP/1.1" 200 1577
0:0:0:0:0:0:0:1 - - [21/Jun/2023:09:57:01 +0900] "GET /01_01_html/day03/Ex01_table_span.html HTTP/1.1" 200 1304
0:0:0:0:0:0:0:1 - - [21/Jun/2023:09:58:10 +0900] "GET /01_01_html/day03/Ex01_table_span.html HTTP/1.1" 200 1355
0:0:0:0:0:0:0:1 - - [21/Jun/2023:09:58:41 +0900] "GET /01_01_html/day03/Ex01_table_span.html HTTP/1.1" 200 1382
0:0:0:0:0:0:0:1 - - [21/Jun/2023:09:58:42 +0900] "GET /01_01_html/day03/Ex01_table_span.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2023:09:58:42 +0900] "GET /01_01_html/day03/Ex01_table_span.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2023:09:59:12 +0900] "GET /01_01_html/day03/Ex01_table_span.html HTTP/1.1" 200 2234
0:0:0:0:0:0:0:1 - - [21/Jun/2023:10:00:05 +0900] "GET /01_01_html/day03/Ex01_table_span.html HTTP/1.1" 200 2252
0:0:0:0:0:0:0:1 - - [21/Jun/2023:10:00:06 +0900] "GET /01_01_html/day03/Ex01_table_span.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2023:10:00:06 +0900] "GET /01_01_html/day03/Ex01_table_span.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2023:10:00:07 +0900] "GET /01_01_html/day03/Ex01_table_span.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2023:10:00:07 +0900] "GET /01_01_html/day03/Ex01_table_span.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2023:10:00:07 +0900] "GET /01_01_html/day03/Ex01_table_span.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2023:10:00:08 +0900] "GET /01_01_html/day03/Ex01_table_span.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2023:10:00:08 +0900] "GET /01_01_html/day03/Ex01_table_span.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2023:10:00:08 +0900] "GET /01_01_html/day03/Ex01_table_span.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2023:10:00:08 +0900] "GET /01_01_html/day03/Ex01_table_span.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2023:10:00:09 +0900] "GET /01_01_html/day03/Ex01_table_span.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2023:10:00:09 +0900] "GET /01_01_html/day03/Ex01_table_span.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2023:10:00:09 +0900] "GET /01_01_html/day03/Ex01_table_span.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2023:10:00:09 +0900] "GET /01_01_html/day03/Ex01_table_span.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2023:10:00:10 +0900] "GET /01_01_html/day03/Ex01_table_span.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2023:10:00:10 +0900] "GET /01_01_html/day03/Ex01_table_span.html HTTP/1.1" 200 2260
0:0:0:0:0:0:0:1 - - [21/Jun/2023:10:00:10 +0900] "GET /01_01_html/day03/Ex01_table_span.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2023:10:00:10 +0900] "GET /01_01_html/day03/Ex01_table_span.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2023:10:00:10 +0900] "GET /01_01_html/day03/Ex01_table_span.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2023:10:00:11 +0900] "GET /01_01_html/day03/Ex01_table_span.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2023:10:00:11 +0900] "GET /01_01_html/day03/Ex01_table_span.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2023:10:00:11 +0900] "GET /01_01_html/day03/Ex01_table_span.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2023:10:00:11 +0900] "GET /01_01_html/day03/Ex01_table_span.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2023:10:00:11 +0900] "GET /01_01_html/day03/Ex01_table_span.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2023:10:00:12 +0900] "GET /01_01_html/day03/Ex01_table_span.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2023:10:00:12 +0900] "GET /01_01_html/day03/Ex01_table_span.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2023:10:00:12 +0900] "GET /01_01_html/day03/Ex01_table_span.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2023:10:00:12 +0900] "GET /01_01_html/day03/Ex01_table_span.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2023:10:00:12 +0900] "GET /01_01_html/day03/Ex01_table_span.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2023:10:00:13 +0900] "GET /01_01_html/day03/Ex01_table_span.html HTTP/1.1" 304 -
