127.0.0.1 - - [21/Jun/2023:11:16:52 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [21/Jun/2023:11:16:53 +0900] "GET /01_01_html/day03/Ex06_tableStyling.html HTTP/1.1" 200 869
0:0:0:0:0:0:0:1 - - [21/Jun/2023:11:17:57 +0900] "GET /01_01_html/day03/Ex06_tableStyling.html HTTP/1.1" 200 879
0:0:0:0:0:0:0:1 - - [21/Jun/2023:11:18:02 +0900] "GET /01_01_html/day03/Ex06_tableStyling.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2023:11:18:03 +0900] "GET /01_01_html/day03/Ex06_tableStyling.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2023:11:18:13 +0900] "GET /01_01_html/day03/Ex06_tableStyling.html HTTP/1.1" 200 882
0:0:0:0:0:0:0:1 - - [21/Jun/2023:11:19:44 +0900] "GET /01_01_html/day03/Ex06_tableStyling.html HTTP/1.1" 200 882
0:0:0:0:0:0:0:1 - - [21/Jun/2023:11:19:46 +0900] "GET /01_01_html/day03/Ex06_tableStyling.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2023:11:19:46 +0900] "GET /01_01_html/day03/Ex06_tableStyling.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2023:11:19:47 +0900] "GET /01_01_html/day03/Ex06_tableStyling.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2023:11:19:47 +0900] "GET /01_01_html/day03/Ex06_tableStyling.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2023:11:19:48 +0900] "GET /01_01_html/day03/Ex06_tableStyling.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2023:11:19:48 +0900] "GET /01_01_html/day03/Ex06_tableStyling.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2023:11:19:49 +0900] "GET /01_01_html/day03/Ex06_tableStyling.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2023:11:19:49 +0900] "GET /01_01_html/day03/Ex06_tableStyling.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2023:11:19:49 +0900] "GET /01_01_html/day03/Ex06_tableStyling.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2023:11:19:49 +0900] "GET /01_01_html/day03/Ex06_tableStyling.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2023:11:19:50 +0900] "GET /01_01_html/day03/Ex06_tableStyling.html HTTP/1.1" 200 888
0:0:0:0:0:0:0:1 - - [21/Jun/2023:11:19:50 +0900] "GET /01_01_html/day03/Ex06_tableStyling.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2023:11:20:01 +0900] "GET /01_01_html/day03/Ex06_tableStyling.html HTTP/1.1" 200 941
0:0:0:0:0:0:0:1 - - [21/Jun/2023:11:20:03 +0900] "GET /01_01_html/day03/Ex06_tableStyling.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2023:11:20:04 +0900] "GET /01_01_html/day03/Ex06_tableStyling.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2023:11:20:05 +0900] "GET /01_01_html/day03/Ex06_tableStyling.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2023:11:22:35 +0900] "GET /01_01_html/day03/Ex06_tableStyling.html HTTP/1.1" 200 1098
0:0:0:0:0:0:0:1 - - [21/Jun/2023:11:22:38 +0900] "GET /01_01_html/day03/Ex06_tableStyling.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2023:11:22:39 +0900] "GET /01_01_html/day03/Ex06_tableStyling.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2023:11:23:30 +0900] "GET /01_01_html/day03/Ex06_tableStyling.html HTTP/1.1" 200 1143
0:0:0:0:0:0:0:1 - - [21/Jun/2023:11:23:34 +0900] "GET /01_01_html/day03/Ex06_tableStyling.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2023:11:23:37 +0900] "GET /01_01_html/day03/Ex06_tableStyling.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2023:11:23:38 +0900] "GET /01_01_html/day03/Ex06_tableStyling.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2023:11:23:38 +0900] "GET /01_01_html/day03/Ex06_tableStyling.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2023:11:23:38 +0900] "GET /01_01_html/day03/Ex06_tableStyling.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2023:11:24:02 +0900] "GET /01_01_html/day03/Ex06_tableStyling.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2023:11:24:03 +0900] "GET /01_01_html/day03/Ex06_tableStyling.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2023:11:24:03 +0900] "GET /01_01_html/day03/Ex06_tableStyling.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2023:11:24:04 +0900] "GET /01_01_html/day03/Ex06_tableStyling.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2023:11:24:04 +0900] "GET /01_01_html/day03/Ex06_tableStyling.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2023:11:24:04 +0900] "GET /01_01_html/day03/Ex06_tableStyling.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2023:11:24:04 +0900] "GET /01_01_html/day03/Ex06_tableStyling.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2023:11:24:04 +0900] "GET /01_01_html/day03/Ex06_tableStyling.html HTTP/1.1" 304 -
